prompt_id,prompt_group,subject,lighting,camera_style,prompt_text,recommended_variants,notes
P001,selfie_closeup,woman close-up,window daylight,smartphone,"A realistic close-up smartphone selfie of a woman in natural window light, subtle skin texture, casual indoor background, unretouched photo, shallow depth of field",2,"good neutral baseline"
P002,selfie_closeup,man close-up,window daylight,smartphone,"A realistic close-up smartphone selfie of a man in natural window light, subtle skin texture, apartment background, unretouched photo, shallow depth of field",2,"mirror P001 with male subject"
P003,street_portrait,woman street portrait,overcast daylight,mirrorless,"A realistic street portrait of a young woman outdoors on an overcast day, natural skin texture, candid expression, city sidewalk background, shot on a mirrorless camera",2,"watch glasses and hair detail"
P004,street_portrait,man street portrait,overcast daylight,mirrorless,"A realistic street portrait of a young man outdoors on an overcast day, natural skin texture, candid expression, city sidewalk background, shot on a mirrorless camera",2,"watch beard and ear structure"
P005,studio_headshot,woman studio headshot,softbox studio,DSLR,"A realistic professional studio headshot of a woman, softbox lighting, neutral seamless backdrop, detailed skin texture, photographic realism, DSLR portrait",2,"good for high quality outputs"
P006,studio_headshot,man studio headshot,softbox studio,DSLR,"A realistic professional studio headshot of a man, softbox lighting, neutral seamless backdrop, detailed skin texture, photographic realism, DSLR portrait",2,"good for symmetry checks"
P007,cafe_candid,woman cafe portrait,warm indoor light,smartphone,"A realistic candid smartphone photo of a woman sitting in a cafe, warm indoor lighting, coffee cup on table, slight motion imperfection, natural social-media look",2,"tests casual mobile aesthetic"
P008,cafe_candid,man cafe portrait,warm indoor light,smartphone,"A realistic candid smartphone photo of a man sitting in a cafe, warm indoor lighting, coffee cup on table, slight motion imperfection, natural social-media look",2,"tests casual mobile aesthetic"
P009,office_portrait,woman office portrait,mixed office light,smartphone,"A realistic office portrait of a woman at a desk, laptop in background, mixed daylight and office lighting, natural skin texture, casual work snapshot",2,"background clutter helps"
P010,office_portrait,man office portrait,mixed office light,smartphone,"A realistic office portrait of a man at a desk, laptop in background, mixed daylight and office lighting, natural skin texture, casual work snapshot",2,"background clutter helps"
P011,outdoor_golden_hour,woman portrait,golden hour,mirrorless,"A realistic outdoor portrait of a woman during golden hour, soft backlight, trees in the background, authentic photo look, detailed eyes and hair strands",2,"strong lighting variation"
P012,outdoor_golden_hour,man portrait,golden hour,mirrorless,"A realistic outdoor portrait of a man during golden hour, soft backlight, trees in the background, authentic photo look, detailed eyes and hair strands",2,"strong lighting variation"
P013,car_selfie,woman car selfie,daylight through windshield,smartphone,"A realistic smartphone selfie of a woman sitting in a parked car, daylight through the windshield, natural expression, dashboard partially visible",2,"good for reflections and framing"
P014,car_selfie,man car selfie,daylight through windshield,smartphone,"A realistic smartphone selfie of a man sitting in a parked car, daylight through the windshield, natural expression, dashboard partially visible",2,"good for reflections and framing"
P015,low_light,woman indoor low light,dim lamp light,smartphone,"A realistic low-light smartphone portrait of a woman indoors at night, dim lamp light, mild sensor noise, natural face detail, authentic handheld photo",2,"tests hard low-light case"
P016,low_light,man indoor low light,dim lamp light,smartphone,"A realistic low-light smartphone portrait of a man indoors at night, dim lamp light, mild sensor noise, natural face detail, authentic handheld photo",2,"tests hard low-light case"
P017,outdoor_profile,woman side profile,bright daylight,telephoto,"A realistic side-profile portrait of a woman outdoors in bright daylight, natural skin texture, loose hair, photographic realism, compressed telephoto perspective",2,"good for nose and profile artifacts"
P018,outdoor_profile,man side profile,bright daylight,telephoto,"A realistic side-profile portrait of a man outdoors in bright daylight, natural skin texture, short hair, photographic realism, compressed telephoto perspective",2,"good for nose and profile artifacts"
P019,family_snapshot,woman casual snapshot,home daylight,smartphone,"A realistic casual home snapshot of a woman looking at the camera, slightly imperfect framing, family-photo style, daytime interior light",2,"tests low production quality"
P020,family_snapshot,man casual snapshot,home daylight,smartphone,"A realistic casual home snapshot of a man looking at the camera, slightly imperfect framing, family-photo style, daytime interior light",2,"tests low production quality"
